PlayerID,Name,Team,pos,api_gp,blocks
21,Taylor Heise,MIN,F,10,5
115,Michela Cava,MIN,F,10,5
11,Sophie Jaques,MIN,D,10,11
97,Liz Schepers,MIN,F,10,4
78,Susanna Tapani,BOS,F,8,4
20,Kendall Coyne Schofield,MIN,F,10,1
12,Megan Keller,BOS,D,8,11
129,Mellissa Channell-Watkins,MIN,D,10,5
15,Alina Müller,BOS,F,8,3
110,Amanda Pelkey,BOS,F,8,3
98,Maureen Murphy,MTL,F,3,3
89,Hannah Miller,TOR,F,5,4
102,Claire Butorac,MIN,F,10,2
67,Renata Fast,TOR,D,5,7
109,Gigi Marvin,BOS,F,8,1
17,Theresa Schafzahl,BOS,F,8,3
24,Lee Stecklein,MIN,D,10,11
30,Kristin O'Neill,MTL,F,3,4
76,Blayre Turnbull,TOR,F,5,0
111,Taylor Wenczkowski,BOS,F,8,1
104,Denisa Křížová,MIN,F,10,4
31,Marie-Philip Poulin,MTL,F,3,5
100,Natalie Spooner,TOR,F,3,4
73,Emma Maltais,TOR,F,5,2
1,Hannah Brandt,BOS,F,8,10
18,Sophie Shirley,BOS,F,8,0
92,Sydney Brodt,MIN,F,10,0
83,Erin Ambrose,MTL,D,3,8
2,Emily Brown,BOS,D,8,14
167,Sidney Morin,BOS,D,8,4
90,Natalie Buchbinder,MIN,D,10,10
23,Kelly Pannek,MIN,F,10,13
65,Jesse Compher,TOR,F,5,4
72,Rebecca Leslie,TOR,F,5,0
10,Jess Healey,BOS,D,8,2
79,Maggie Flaherty,MIN,D,10,10
103,Sophia Kunin,MIN,F,10,2
25,Grace Zumwinkle,MIN,F,10,2
162,Madison Bizal,MTL,D,3,0
138,Mikyla Grant-Mentis,MTL,F,3,4
32,Laura Stacey,MTL,F,3,3
125,Victoria Bach,TOR,F,5,1
114,Abby Boreen,MIN,F,5,3
68,Kali Flanagan,TOR,D,5,5
69,Brittany Howard,TOR,F,5,3
71,Jocelyne Larocque,TOR,D,5,6
74,Allie Munroe,TOR,D,5,3
75,Sarah Nurse,TOR,F,5,6
16,Jamie Lee Rattray,BOS,F,6,2
105,Brittyn Fleming,MIN,F,9,5
160,Alexandra Poznikoff,MTL,F,1,0
117,Abby Cook,BOS,D,2,0
127,Jess Jones,TOR,F,2,0
14,Nicole Kosta,BOS,F,2,1
158,Sarah Lefort,MTL,F,2,0
51,Amanda Boulier,MTL,D,3,2
26,Claire Dalton,MTL,F,3,2
163,Catherine Daoust,MTL,D,3,2
168,Mélodie Daoust,MTL,F,3,4
156,Gabrielle David,MTL,F,3,1
27,Jillian Dempsey,MTL,F,3,0
157,Catherine Dubois,MTL,F,3,0
99,Mariah Keopple,MTL,D,3,2
164,Brigitte Laganière,MTL,D,3,0
159,Leah Lum,MTL,F,3,0
84,Kati Tabin,MTL,D,3,4
126,Samantha Cogan,TOR,F,5,2
66,Maggie Connors,TOR,F,5,1
131,Olivia Knowles,TOR,D,5,5
133,Lauriane Rougeau,TOR,D,5,2
101,Alexa Vasko,TOR,F,5,2
128,Kaitlin Willoughby,TOR,F,5,2
91,Brooke Bryant,MIN,F,6,0
8,Loren Gabel,BOS,F,6,2
175,Kelly Babstock,BOS,F,8,3
5,Jessica DiGirolamo,BOS,D,8,16
7,Kaleigh Fratkin,BOS,D,8,11
13,Hilary Knight,BOS,F,8,14
116,Clair DeGeorge,MIN,F,10,2
118,Emma Greco,MIN,D,10,13
